"","M","trait","beta_EM","se_EM","p_EM","beta_MO","se_MO","p_MO"
"71","ebi-a-GCST90001461","Dendritic Cell Absolute Count",-0.0228006126598627,0.0304318899867978,0.453716061036641,0.0252734282254082,0.0407968566434939,0.535590645397961
"72","ebi-a-GCST90001462","CD62L- Dendritic Cell Absolute Count",-0.0118999874674495,0.0280171760527036,0.671026946716267,0.00445724631571297,0.0196176547075742,0.820263663034538
"73","ebi-a-GCST90001463","CD62L- Dendritic Cell %Dendritic Cell",0.00900580456219413,0.0286572453090405,0.753324141478845,0.0161591994910244,0.025017358683059,0.518331498577978
"74","ebi-a-GCST90001464","CD86+ myeloid Dendritic Cell Absolute Count",-0.00924048165448839,0.030688595114397,0.763334621657771,-0.00605326461227718,0.0283908952168608,0.831162019209077
"75","ebi-a-GCST90001465","CD86+ myeloid Dendritic Cell %Dendritic Cell",-0.000399827806907869,0.0310339535779543,0.989720690657527,0.0317709819025463,0.0223377344917443,0.154938891359445
"76","ebi-a-GCST90001466","CD86+ plasmacytoid Dendritic Cell Absolute Count",-0.00411294981503777,0.0267544813553876,0.877823118718518,0.0108113542720605,0.0467151819194735,0.81697976799819
"77","ebi-a-GCST90001467","CD86+ plasmacytoid Dendritic Cell %Dendritic Cell",-0.00222850284138694,0.0266146154852976,0.93326927941488,-0.0298863700100815,0.0396279511472895,0.450744753864501
"78","ebi-a-GCST90001468","CD62L- myeloid Dendritic Cell Absolute Count",-0.006542392178729,0.0282468902573427,0.816837366944477,0.00111632578692784,0.0365206416540348,0.975614874585185
"79","ebi-a-GCST90001469","CD62L- myeloid Dendritic Cell %Dendritic Cell",0.00851959179941664,0.0292600196948002,0.770922563652711,0.0142643986245782,0.0238024065462268,0.548983593476428
"80","ebi-a-GCST90001470","CD62L- plasmacytoid Dendritic Cell Absolute Count",-0.00092542637861976,0.0277537590260484,0.973400121580009,0.0105476081710125,0.0411153515621252,0.797536228705972
"81","ebi-a-GCST90001471","CD62L- plasmacytoid Dendritic Cell %Dendritic Cell",-0.00996979463151311,0.0263482769415683,0.705144557134683,-0.0128585091585385,0.0404940212201701,0.750833187484275
"82","ebi-a-GCST90001472","CD62L- CD86+ myeloid Dendritic Cell Absolute Count",-0.0194387437099247,0.0278903383226568,0.485821240727096,0.02727499539808,0.0277917088780144,0.32639176051774
"83","ebi-a-GCST90001473","CD62L- CD86+ myeloid Dendritic Cell %Dendritic Cell",0.00904571398714137,0.0288826802837666,0.754137700257889,0.0396688601630711,0.0277814716537356,0.153323785531461
"84","ebi-a-GCST90001474","Plasmacytoid Dendritic Cell %Dendritic Cell",-0.0185183361052319,0.02717372865919,0.495568201759599,-0.0163598659638416,0.0300953293106238,0.586715731749706
"85","ebi-a-GCST90001475","HLA DR++ monocyte %monocyte",-0.0321226065810126,0.0268335454952274,0.231265121569679,-0.0112601062633483,0.0416701295031711,0.786990935634671
"86","ebi-a-GCST90001476","HLA DR++ monocyte %leukocyte",-0.0389624805884415,0.0268814841667924,0.1472211592953,0.0659494337285018,0.0645568732208979,0.306983958324422
"87","ebi-a-GCST90001477","HLA DR++ monocyte Absolute Count",-0.024386711192256,0.0273735284675466,0.372989980661111,-0.013557199782664,0.0267936000424319,0.612866130097399
"88","ebi-a-GCST90001478","CD4 regulatory T cell %CD4+ T cell",0.0280519070333472,0.0270715561395724,0.300102634515309,-0.00808812101673331,0.0479613939054513,0.866081266391083
"89","ebi-a-GCST90001479","CD4 regulatory T cell %T cell",-0.00122465565092003,0.0277072726876269,0.964745148968017,-0.0262475276154814,0.0521654095681419,0.614852052836439
"90","ebi-a-GCST90001480","Resting CD4 regulatory T cell Absolute Count",-0.044960712464598,0.0250864017105098,0.0730954242229635,-0.0365680795126147,0.0315308986681099,0.24614905942218
"91","ebi-a-GCST90001481","Resting CD4 regulatory T cell %CD4 regulatory T cell",-0.0625105739620362,0.0243733581532646,0.0103262332500736,-0.0215857013375679,0.0206786129780102,0.29654738340415
"92","ebi-a-GCST90001482","Resting CD4 regulatory T cell %CD4+ T cell",-0.0469305523793901,0.0249545087801658,0.0600203339296186,-0.0183362053973131,0.0198334449707498,0.355221183608931
"93","ebi-a-GCST90001483","CD39+ resting CD4 regulatory T cell Absolute Count",-0.0540010732806274,0.0267101312694456,0.0432027064925563,-0.00474907325914505,0.0218491602129792,0.827929948576111
"94","ebi-a-GCST90001484","CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell",-0.0401702045887682,0.0264896356705282,0.129405636879749,-0.00514049218452457,0.0242129774011884,0.831870511959811
"95","ebi-a-GCST90001485","CD39+ resting CD4 regulatory T cell %CD4 regulatory T cell",-0.0557937916864107,0.0264527932761431,0.0349287567347888,0.00123276485106765,0.00717615747920406,0.863605612073581
"96","ebi-a-GCST90001486","Activated CD4 regulatory T cell Absolute Count",0.0153679917660052,0.0319985552343293,0.631034403758833,-0.0299482877726638,0.0306618627003855,0.328704024091677
"97","ebi-a-GCST90001487","Activated CD4 regulatory T cell %CD4 regulatory T cell",0.0166133141520863,0.0263119515215734,0.527780308857342,0.0123113640597668,0.0297125640430212,0.678618709198795
"98","ebi-a-GCST90001488","Activated CD4 regulatory T cell %CD4+ T cell",0.0327730651031123,0.0266296468199949,0.218435667502769,0.0376022867654304,0.0400132516403805,0.347347945847649
"99","ebi-a-GCST90001489","CD39+ activated CD4 regulatory T cell Absolute Count",0.0165010907267445,0.0330887791136726,0.617996779663809,-0.00521217773937281,0.0258462243993752,0.840181684645665
"100","ebi-a-GCST90001490","CD39+ activated CD4 regulatory T cell %activated CD4 regulatory T cell",0.0105936970288671,0.0419448949660965,0.800606504896836,0.00210692165318581,0.135916444729132,0.987632012178017
"101","ebi-a-GCST90001491","CD39+ activated CD4 regulatory T cell %CD4 regulatory T cell",0.0267200700470475,0.027049533285529,0.323240809366972,0.000984938722336608,0.0205095763783722,0.96169762734177
"102","ebi-a-GCST90001492","Secreting CD4 regulatory T cell Absolute Count",0.0141439230492121,0.028073755635844,0.614392791448038,-0.0134592964253542,0.0164873045295067,0.41430396020466
"103","ebi-a-GCST90001493","Secreting CD4 regulatory T cell %CD4 regulatory T cell",0.0469714474735809,0.0280082351179458,0.0935310520057606,-0.0196177871922133,0.0287662801456651,0.495256884962656
"104","ebi-a-GCST90001494","Secreting CD4 regulatory T cell %CD4+ T cell",0.0402062204093555,0.0312263743979327,0.197894823246558,-0.00673062945603628,0.0159500238812235,0.673037859410176
"105","ebi-a-GCST90001495","CD39+ secreting CD4 regulatory T cell Absolute Count",-0.00079474015462008,0.0300916478553107,0.978929794998699,0.0163007666048431,0.0209278556237693,0.436036938920126
"106","ebi-a-GCST90001496","CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell",-0.0131627137986002,0.0274135472759247,0.631118167473076,-0.0048370419386737,0.0270216594815625,0.85793291022768
"107","ebi-a-GCST90001497","CD39+ secreting CD4 regulatory T cell %CD4 regulatory T cell",0.00368907405560535,0.0280538049524436,0.895379823106931,-0.0283870362615643,0.0323892231052105,0.380793807685225
"108","ebi-a-GCST90001498","Activated & resting CD4 regulatory T cell Absolute Count",-0.0227564885967371,0.0274128897768898,0.406460617962826,-0.0355774216801951,0.0414087889160902,0.39024363471933
"109","ebi-a-GCST90001499","Activated & resting CD4 regulatory T cell %CD4 regulatory T cell",-0.0468506061838115,0.0281507062926908,0.0960568511878317,0.0352540908851423,0.0291170095515953,0.225982391048191
"110","ebi-a-GCST90001500","Activated & resting CD4 regulatory T cell %CD4+ T cell",-0.0156073357382674,0.0263046743476415,0.552960750000493,-0.00546965581371543,0.0251998896511478,0.828168768008046
"111","ebi-a-GCST90001501","Activated & secreting CD4 regulatory T cell Absolute Count",0.0175432923762965,0.0286608726092457,0.540472238055066,-0.00882414909671439,0.0159385343858505,0.579827868509104
"112","ebi-a-GCST90001502","Activated & secreting CD4 regulatory T cell %CD4 regulatory T cell",0.0646324405112586,0.024076460724653,0.00726457691843994,-0.0025676781371324,0.019158553601731,0.893384745902704
"113","ebi-a-GCST90001503","Activated & secreting CD4 regulatory T cell %CD4+ T cell",0.0488427754648659,0.0266856139007982,0.0672045518397601,-0.0114111503791584,0.0119178325441733,0.33832232401824
"114","ebi-a-GCST90001504","CD25++ CD4+ T cell Absolute Count",0.025578563863959,0.031438232869907,0.415866525848469,0.0355249430338089,0.0486022287657926,0.464820453197526
"115","ebi-a-GCST90001505","CD25++ CD4+ T cell %CD4+ T cell",0.0612075632481633,0.0270097946346235,0.0234437482380325,0.00340128977572334,0.0363579520677138,0.925466556153323
"116","ebi-a-GCST90001506","CD25++ CD4+ T cell %T cell",0.029526389602444,0.0272256698716079,0.278140715285068,-0.0100267492044575,0.0341775487636447,0.769237526172184
"117","ebi-a-GCST90001507","CD25++ CD45RA+ CD4 not regulatory T cell Absolute Count",-0.0280680855762996,0.0276652864298118,0.310315742776948,-0.0298917781744939,0.0247098608027,0.226389997698244
"118","ebi-a-GCST90001508","CD25++ CD45RA+ CD4 not regulatory T cell %CD4+ T cell",-0.0250468420472967,0.0272113068143905,0.357333912922448,-0.00494815861732595,0.014402312306969,0.731171977863291
"119","ebi-a-GCST90001509","CD25++ CD45RA+ CD4 not regulatory T cell %T cell",-0.0318877088085019,0.0271960822481645,0.240991910945388,0.0015149121078066,0.0177804320181871,0.932101527652788
"120","ebi-a-GCST90001510","CD25++ CD45RA- CD4 not regulatory T cell Absolute Count",0.0485684476880616,0.0354107280623979,0.1701959713325,-0.0121268269891972,0.0259127012079377,0.639793342942869
"121","ebi-a-GCST90001511","CD25++ CD45RA- CD4 not regulatory T cell %CD4+ T cell",0.0751861872731988,0.0311617606579813,0.0158317702840918,0.0158619805253084,0.0330292373316891,0.631056325576575
